x,y,median_button,summed_button,summed_button_BGsub,std_button,x_button_center,y_button_center,radius_button_disk,median_button_annulus,summed_button_annulus_normed,std_button_annulus_localBG,inner_radius_button_annulus,outer_radius_button_annulus,xslice,yslice,id,postwash_images
1,6,4292,1895514,-8818,172,50,49,12,4298,1904332,232,12,12,"(968, 1068)","(458, 558)",0_0,7
1,6,4257,1876448,-2209,156,50,49,12,4243,1878657,226,12,12,"(968, 1068)","(458, 558)",0_0,8
1,6,4318,1901592,1154,153,50,49,12,4282,1900438,225,12,12,"(968, 1068)","(458, 558)",0_0,9
1,6,4214,1860206,-9111,156,50,49,12,4223,1869317,220,12,12,"(968, 1068)","(458, 558)",0_0,10
1,6,4275,1888829,1413,154,50,49,12,4264,1887416,211,12,12,"(968, 1068)","(458, 558)",0_0,11
1,6,4264,1880184,-1564,161,50,49,12,4252,1881748,219,12,12,"(968, 1068)","(458, 558)",0_0,12
1,6,4217,1863179,3498,158,50,49,12,4195,1859681,212,12,12,"(968, 1068)","(458, 558)",0_0,13
1,6,4266,1886227,3797,149,50,49,12,4256,1882430,215,12,12,"(968, 1068)","(458, 558)",0_0,14
1,6,4200,1853504,-1843,149,50,49,12,4196,1855347,210,12,12,"(968, 1068)","(458, 558)",0_0,15
1,6,4234,1869704,-2468,151,50,49,12,4235,1872172,207,12,12,"(968, 1068)","(458, 558)",0_0,16
1,6,4204,1856395,1075,150,50,49,12,4198,1855320,204,12,12,"(968, 1068)","(458, 558)",0_0,17
1,6,4220,1860150,6469,149,50,49,12,4198,1853681,206,12,12,"(968, 1068)","(458, 558)",0_0,18
1,6,4221,1859279,-803,153,50,49,12,4212,1860082,208,12,12,"(968, 1068)","(458, 558)",0_0,19
1,7,4584,2023077,46225,146,50,48,12,4516,1976852,220,12,12,"(1068, 1168)","(458, 558)",0_0,0
1,7,4508,1987842,42899,144,50,48,12,4449,1944943,216,12,12,"(1068, 1168)","(458, 558)",0_0,1
1,7,4436,1960690,38159,135,50,48,12,4390,1922531,217,12,12,"(1068, 1168)","(458, 558)",0_0,2
1,7,4466,1969855,39225,147,50,48,12,4414,1930630,212,12,12,"(1068, 1168)","(458, 558)",0_0,3
