Oligo_Identity,New_title,koff_median_MAX_181206,koff_err_MAX_181206,Kd_MAX_181206,Kd_err_MAX_181206,koff_median_MAX_190503,koff_err_MAX_190503,Kd_MAX_190503,Kd_err_MAX_190503,koff_median_MAX_190510_d3,koff_err_MAX_190510_d3,Kd_MAX_190510_d3,Kd_err_MAX_190510_d3,koff_median_Pho4_181206,koff_err_Pho4_181206,Kd_Pho4_181206,Kd_err_Pho4_181206,koff_median_Pho4_181217,koff_err_Pho4_181217,Kd_Pho4_181217,Kd_err_Pho4_181217,koff_median_Pho4_200710_d2,koff_err_Pho4_200710_d2,Kd_Pho4_200710_d2,Kd_err_Pho4_200710_d2
22,Mutated motif + repeat 3,0.1181274914518033,0.013527792745663542,1249.8676961848385,108.7657197092774,0.07912968677969821,0.01162613405088341,6329.894714696226,663.5809920977034,0.07151924616263546,0.024138670775430693,5813.253172113895,678.5079583827553,0.31084989938896823,0.02244509265948827,8799.445531203264,1244.0309498258266,0.2982155843276372,0.01805717608755668,11735.105495696696,1343.0338714771422,0.1973204524715487,0.02654129588118765,6430.66979305612,783.390403882486
23,Motif + random 3,0.0758852094295264,0.004549875959681746,734.5988093669871,105.00916379450638,0.06356374128724392,0.01040110498059662,2599.7267564656368,229.752282313728,0.05430874349041981,0.026936392158320773,2348.4081931416445,121.94568150469554,0.1652688992469301,0.009566908823501105,1532.784984059322,236.70278439808945,0.1700738289521318,0.003943437877631998,704.7326719086458,133.32142848807973,0.17086598750594445,0.0103101253966202,1282.913016610458,80.28627498262311
24,Motif + repeat 10,0.0730828193357104,0.005785760068035983,,,0.0694108853686441,0.007697842847323782,2432.928534082052,174.7788905703996,0.07705217708478006,0.01622297758771986,1567.7463565485943,70.05132219045946,0.1805304904433136,0.006813459071742658,1129.7581103883756,171.35013976401527,0.1749075639745248,0.010875628451193109,,,0.1734349607630507,0.09128351382945572,974.6332039803932,52.73419685801743
25,Motif + short repeat 1,0.0692774852276962,0.00914234645177195,,,0.06048993323618311,0.012129667570272552,2724.3030071871053,262.8688191958201,0.05350151744013697,0.019616406463671885,1482.328863453868,79.62001665654061,0.1565565646078904,0.020075085253048228,,,0.17011976926315947,0.014523216918527003,,,0.1463228648535119,0.006709253637663139,904.2252987365696,53.97293521777242
26,Mutated motif + repeat 4,0.167592303985614,0.03556368108912628,2596.902550926413,352.2645558835208,0.08715410869357486,0.015984716468355472,6407.410589232616,578.8625422778866,0.12896513180995217,0.015404947497389871,5975.678976447632,286.8184698216611,0.30157433659623184,0.02842553193440808,8127.746845186166,791.7445017705957,0.2637223559075554,0.013795399463220342,5886.193266163362,593.7658458691536,0.23392861408453886,0.022406046447794245,5045.356128420868,590.2903320059887
27,No motif + repeat 1,,,2755.3338798988875,360.3026875068813,,,8331.700950746708,986.2886252348458,,,11683.644588329958,951.6941733501852,,,4316.471486407337,574.9126816555474,,,2765.415579508009,322.4889653725993,,,6701.665481119085,626.4033959242836
28,Motif + repeat 11,0.0918632449605499,0.012542593233326904,,,0.08312939634990361,0.005777019148838962,2487.415282970837,325.8455610973512,0.07884544949368756,0.011939187054772236,1181.638313213233,65.08593798696575,0.18902668519678303,0.01693037789953273,1376.47197957278,171.31510177673255,0.2117578395719727,0.01548320015996373,451.4673612516476,73.3950861113682,0.1564864335518179,0.003164596402131989,949.0850055189884,53.88638288863599
29,Motif + short repeat 2,0.057582648544793655,0.0051523889054320825,,,0.058165842764433706,0.01021537074341338,2383.357144745496,175.47529297164658,0.04135165456316896,0.016486651861713802,1841.5789247944208,128.9356619064182,0.1552990657189,0.02606975831290272,880.5691210756934,131.30192484823775,0.1598852943389073,0.0036413132507428976,661.1367577181599,114.22975327568489,0.17702402019320096,0.01701401404285373,992.5777225802024,63.55913276032313
31,No motif + repeat 2,,,6621.001098896284,1011.9320726868152,,,14699.29735780652,1829.5183930701469,,,19097.4584977153,1446.298192544369,,,7477.907648491291,734.8046502724591,,,9898.248435316107,968.977509737924,,,6366.3559676327095,429.9373817302261
32,Motif + repeat 12,0.0674875986266763,0.005079496287810382,251.1387893230859,39.076201314348666,0.07072752735688957,0.0058693137033692805,1885.079739712319,162.6884101451623,0.06322169552387447,0.018891615384636965,1051.6290457414457,45.46949733345685,0.1783609660339762,0.008759690943147332,1049.5175010218525,124.09593008168537,0.16531102392370606,0.0078510872953972,,,0.1388615410004907,0.002449875033170116,816.5794759050011,61.4884893451511
